FID_1,NAME,GSS_CODE,BOROUGH,...5,Count_,Avg_price,Avg_number_of_,Avg_reviews_pe,Avg_availabili,Avg_number_of1,GSS_CODE...12,IMD Score,Income Score (rate),Employment Score (rate),Health Deprivation and Disability Score,Crime Score,Barriers to Housing and Services Score,Living Environment Score,Count,count,average_price,
324,Southbury,E05000207,Enfield,NA,37,112.70229,10.961832,0.702061,117.045802,4.725191,E05000116,26.758571,0.176857,0.114143,-0.117857,0.638,37.119286,23.520571,131,37,82.24,
128,Brunel,E05000326,Hillingdon,NA,53,163.196532,16.208092,0.503295,103.456647,4.456647,E05000132,16.429571,0.119429,0.081,-0.606571,0.21,19.736429,27.234286,173,53,82.11,
113,Hacton,E05000311,Havering,NA,11,169.085714,15.442857,0.68,99.52381,4.528571,E05000613,11.792222,0.075667,0.042889,-0.715556,-0.340111,26.655667,32.927111,210,12,81.75,
381,Stonecot,E05000563,Sutton,NA,13,105.731343,20.820896,0.766119,245.716418,5.791045,E05000502,16.189875,0.12375,0.0655,-0.8775,0.426625,26.708,26.33125,67,13,81.15,
384,Wallington North,E05000569,Sutton,NA,17,105.233216,8.929329,0.66053,161.462898,3.80212,E05000153,23.242667,0.123111,0.078889,-0.274,0.786111,36.879667,34.397889,283,18,81,
286,Blackfen and Lamorbey,E05000066,Bexley,NA,7,117.888889,16.777778,0.422222,278,4.555556,E05000294,17.188571,0.119,0.063286,-0.960286,-0.256571,38.016143,22.256714,9,7,80.43,
71,Feltham West,E05000352,Hounslow,NA,33,200.364407,16.788136,0.638686,107.008475,5.186441,E05000264,17.875286,0.108857,0.070286,-0.198,0.288571,24.395143,36.934714,236,33,80.15,
17,Selsdon and Ballards,E05000162,Croydon,NA,28,357.128065,13.029973,0.729292,157.288828,4.531335,E05000634,43.6575,0.328,0.22,0.2225,0.43325,26.56175,35.80125,367,28,80.07,
613,Eastbury,E05000031,Barking and Dagenham,NA,22,63.533333,18.2,0.685333,134.533333,4.333333,E05000328,17.52275,0.112375,0.0755,-0.468875,0.2005,27.94325,22.007875,15,22,79.95, 
111,Mawneys,E05000316,Havering,NA,19,169.294444,13.044444,0.642278,86.627778,4.583333,E05000376,30.921,0.190571,0.127429,0.495571,1.087571,29.360714,35.071571,180,19,79.32,
268,Middle Park and Sutcliffe,E05000224,Greenwich,NA,54,121.30719,14.660131,0.78451,137.75817,5.673203,E05000089,27.350667,0.16,0.100444,-0.450333,0.772556,42.072889,31.423111,153,54,79.3,
615,Mayesbrook,E05000036,Barking and Dagenham,NA,18,63.3,14,0.872,175.3,6.6,E05000562,27.424571,0.172714,0.117429,0.073857,0.225429,27.724571,31.915429,10,18,79.28,
341,Hale End and Highams Park,E05000597,Waltham Forest,NA,34,110.921569,13.627451,0.590196,249.470588,4.686275,E05000306,21.091,0.137667,0.085444,-0.248556,0.445889,26.276556,25.477556,51,34,79.12,
83,Southall Green,E05000190,Ealing,NA,21,190.908497,26.509804,0.636078,100.72549,5.627451,E05000261,19.806857,0.107143,0.080429,-0.149,0.536286,27.436857,40.915571,153,21,78.81,
405,Cricket Green,E05000458,Merton,NA,42,102.111111,16.796296,0.949074,153.962963,5.5,E05000113,10.787556,0.069778,0.047667,-1.279,0.028222,29.979667,18.358556,54,42,78.67,
299,Christchurch,E05000069,Bexley,NA,22,116.142857,10.285714,0.395595,89.714286,3.011905,E05000431,20.895889,0.133333,0.082333,-0.157111,0.199333,27.488556,39.956444,84,22,78.41,
32,Shirley,E05000163,Croydon,NA,11,267.724868,14.550265,0.479841,125.814815,4.608466,E05000133,7.151625,0.04425,0.029875,-1.91525,-0.33675,20.429,28.751875,189,11,78.18,
63,Hanworth,E05000353,Hounslow,NA,23,212.409171,17.679012,0.828078,147.135802,6.797178,E05000388,27.204,0.139833,0.101667,-0.383667,0.584333,47.432167,44.129667,567,23,78.17,
290,Crayford,E05000071,Bexley,NA,19,117.607143,12.952381,0.56869,74.690476,3.964286,E05000421,31.530444,0.163333,0.101333,0.528667,1.137889,28.034333,53.165667,252,19,77.95,
72,Hanworth Park,E05000354,Hounslow,NA,47,198.172078,29.282468,1.082208,90.685065,8.925325,E05000548,19.875625,0.1195,0.067875,0.024875,0.09075,30.355125,32.4715,308,47,77.87,
161,Wealdstone,E05000304,Harrow,NA,13,150.524823,30.257683,1.105887,106.579196,9.446809,E05000143,32.773875,0.232875,0.145375,0.296,0.71225,23.1215,33.0455,423,13,77.85,
360,Seven Kings,E05000512,Redbridge,NA,29,108.136364,9.4,0.550091,109.163636,3.490909,E05000590,27.191625,0.16925,0.09425,-0.013875,0.249125,40.030125,36.944375,110,29,77.72,
138,Pinkwell,E05000337,Hillingdon,NA,29,156.66205,17.055402,0.595679,78.941828,4.135734,E05000380,27.332714,0.173286,0.108143,0.226,0.707286,25.860429,40.958714,361,29,77.45,
313,Lower Edmonton,E05000204,Enfield,NA,36,113.541463,30.97561,0.93478,146.873171,8.956098,E05000188,29.244222,0.190667,0.119556,0.061111,0.460556,37.452556,35.463667,205,36,76.78,
14,St. James,E05000411,Kingston upon Thames,NA,32,372.875,6.125,0.27,267.75,2.5,E05000309,8.797125,0.05625,0.050125,-0.951,-0.4905,23.44475,11.276875,8,32,76.19,
64,Cranford,E05000350,Hounslow,NA,28,212.187279,14.176678,0.601943,134.477032,4.35689,E05000619,8.580333,0.044778,0.030222,-0.950778,-0.004778,18.026,33.589222,283,28,76.14,
292,Erith,E05000075,Bexley,NA,58,117.416667,17.333333,0.679167,128.75,3.166667,E05000320,11.846444,0.084333,0.059444,-0.742444,-0.048778,16.695,16.591556,12,58,76.09,
370,Beddington South,E05000556,Sutton,NA,17,106.883803,12.964789,0.65912,82.119718,5.014085,E05000577,26.113667,0.169889,0.095111,0.175444,0.871333,28.134889,32.774556,284,17,75.88,
67,Heston East,E05000356,Hounslow,NA,28,205.517544,8.315789,0.48693,183.236842,3.517544,E05000057,13.8346,0.0939,0.0615,-1.3516,-0.0121,32.9482,21.6785,114,27,75.85,
622,Chadwell Heath,E05000029,Barking and Dagenham,NA,19,48.307692,15.615385,0.671538,160.615385,4,E05000033,33.373429,0.198286,0.120571,0.265714,0.525571,46.017714,28.773286,13,19,75.79, 
580,Seven Sisters,E05000278,Haringey,NA,167,75.788462,11.538462,0.741538,215.461538,4.480769,E05000079,32.063286,0.210571,0.143571,0.160143,0.340714,37.920714,17.118857,52,166,75.6,
85,Dormers Wells,E05000172,Ealing,NA,37,189.456522,8.543478,0.686304,152.978261,4.26087,E05000464,16.954333,0.112167,0.077833,-0.367,0.3245,21.358,26.248,46,37,75.49,
412,St. Helier,E05000470,Merton,NA,27,101.315789,29.421053,1.040526,202.947368,9.578947,E05000314,30.69,0.19925,0.132375,0.179625,0.61325,29.88,13.78075,19,37,75.11,
371,St. Helier,E05000562,Sutton,NA,10,106.870307,10.744027,0.506212,69.863481,3.593857,E05000247,27.156286,0.154,0.093857,0.312714,0.768571,40.023571,36.471857,293,37,75.11,
46,Clock House,E05000112,Bromley,NA,51,239.610136,11.88499,0.612222,117.660819,4.05848,E05000492,28.776,0.14,0.070667,0.048333,0.761,50.564333,44.508556,513,51,74.18, 
250,Bellingham,E05000437,Lewisham,NA,77,124.292683,7.365854,0.498537,145.341463,3.756098,E05000473,8.303,0.065833,0.043167,-1.173,-0.3845,21.073,24.361333,41,77,74.14,
602,East Ham North,E05000481,Newham,NA,28,69.25,13.836957,0.629891,133.032609,4.967391,E05000161,34.5001,0.2038,0.1331,0.3641,0.8619,39.1985,35.0857,92,28,74.14,
416,Figge's Marsh,E05000460,Merton,NA,19,101.08,12.16,0.92,212.48,8.04,E05000301,22.158429,0.162,0.100286,-0.678857,0.23,36.868429,19.246429,25,19,73.47,
315,Jubilee,E05000203,Enfield,NA,24,113.269504,15.787234,0.59227,103.687943,5.212766,E05000616,20.600111,0.142333,0.081667,-0.137444,0.359556,27.529222,34.785111,141,24,72.88, 
301,Brampton,E05000068,Bexley,NA,16,115.140845,20.140845,0.716268,98.105634,5.809859,E05000444,20.390444,0.128111,0.082889,-0.219667,0.251333,32.689,32.993889,142,16,72.62,
365,Fullwell,E05000504,Redbridge,NA,18,107.288889,47.4,1.25,113.511111,12.355556,E05000533,10.275,0.070167,0.050833,-1.1155,-0.021667,19.9705,26.023833,45,18,72.61,
182,Kenton,E05000093,Brent,NA,12,145.008403,14.840336,0.76084,158.184874,4.815126,E05000475,31.700889,0.184444,0.115333,0.076,0.440556,54.627667,22.169222,119,12,72.5,
74,Hounslow Heath,E05000359,Hounslow,NA,36,196.80226,13.847458,0.637571,84.305085,4.129944,E05000610,10.642333,0.062556,0.038889,-0.576556,0.192111,20.081444,30.749111,177,36,72.08,
